,SAMPN,STYPE,CTFIP,INCOM_R,DOW,HHVEH
382,3010782,1,36119,3,2,4
383,3010786,1,9009,4,3,2
384,3010832,1,34013,1,5,0
385,3010897,1,36085,4,4,3
386,3010947,1,34017,2,3,1
387,3010959,1,36027,4,1,3
388,3010975,1,34013,2,5,1
389,3011030,1,36059,2,4,1
390,3011072,1,34013,1,2,1
391,3011142,1,36103,4,4,2
392,3011166,1,36085,3,5,2
393,3011172,1,36081,1,3,0
394,3011208,1,34013,9,4,1
395,3011215,1,34003,4,2,3
396,3011256,1,34003,4,2,3
397,3011299,1,9009,1,2,0
398,3011309,1,36085,2,3,0
399,3011317,1,36005,1,2,0
400,3011325,1,34013,9,2,1
401,3011361,1,34003,9,1,1
402,3011484,1,36087,2,4,2
403,3011524,1,34019,3,4,4
404,3011543,1,34025,2,5,3
405,3011560,1,9009,2,2,1
406,3011609,1,36059,4,4,2
407,3011633,1,34029,2,2,3
408,3011686,1,34039,3,2,1
409,3011711,1,34013,4,1,2
410,3011746,1,34025,3,2,2
411,3011777,1,36119,4,3,1
412,3011785,1,36087,4,3,2
413,3011818,1,34037,3,5,3
414,3011824,1,36119,9,3,2
415,3011825,1,36027,2,4,4
416,3011942,1,36061,1,1,1
417,3011948,1,34003,2,5,1
418,3011980,1,34013,2,1,1
419,3011992,1,36047,1,3,1
420,3012012,1,34013,2,4,0
421,3012024,1,36061,4,2,2
422,3012062,1,34027,4,1,3
423,3012066,1,36061,4,2,1
424,3012145,1,36061,1,1,0
425,3012157,1,34025,2,5,2
426,3012170,1,36081,2,2,1
427,3012171,1,36087,4,3,3
428,3012175,1,34003,4,5,2
429,3012181,1,34027,1,3,2
430,3012188,1,34017,4,2,1
431,3012195,1,34003,4,2,1
432,3012204,1,34019,2,4,1
433,3012334,1,36079,2,2,1
434,3012373,1,34041,1,2,1
435,3012390,1,34003,1,2,0
436,3012442,1,34013,9,3,2
437,3012443,1,34019,2,4,2
438,3012523,1,34019,2,4,1
439,3012524,1,36103,3,3,2
440,3012530,1,34035,3,3,2
441,3012531,1,34023,2,2,3
442,3012547,1,36081,4,2,1
443,3012558,1,34029,1,4,0
444,3012581,1,34003,9,2,2
445,3012647,1,34027,4,2,3
446,3012657,1,36061,3,5,1
447,3012724,1,36079,4,1,4
448,3012747,1,36061,4,4,0
449,3012753,1,36047,1,5,1
450,3012754,1,36119,4,3,2
451,3012770,1,36087,2,2,0
452,3012782,1,36061,4,1,0
453,3012811,1,34027,2,4,0
454,3012834,1,36047,4,1,2
455,3012840,1,34035,4,2,2
456,3012845,1,36005,3,2,1
457,3012856,1,36059,9,5,0
458,3012892,1,34017,3,1,1
459,3012919,1,36061,4,1,0
460,3012995,1,36059,1,1,0
461,3013006,1,36071,4,3,2
462,3013030,1,36061,4,3,0
463,3013033,1,36047,4,4,2
464,3013089,1,36085,9,5,2
465,3013113,1,34027,9,1,2
466,3013134,1,36005,1,3,0
467,3013157,1,9009,2,5,3
468,3013169,1,36103,4,4,1
469,3013173,1,36061,4,4,0
470,3013174,1,34029,4,2,2
471,3013206,1,34027,9,3,2
472,3013210,1,36047,1,1,0
473,3013350,1,34023,2,4,3
474,3013374,1,34003,4,5,2
475,3013379,1,34025,4,3,2
476,3013398,1,34013,2,2,1
477,3013444,1,36119,4,4,0
478,3013449,1,34019,2,1,3
479,3013530,1,34013,2,5,1
480,3013555,1,36071,4,5,2
481,3013561,1,34031,4,3,2
482,3013562,1,36079,4,5,1
483,3013579,1,36087,3,3,3
484,3013715,1,36081,4,1,0
485,3013740,1,34003,4,3,4
486,3013741,1,9001,2,2,1
487,3013794,1,36059,1,2,1
488,3013846,1,34023,2,3,1
489,3013852,1,36085,2,2,2
490,3013865,1,34019,4,3,5
491,3013892,1,36079,2,5,3
492,3013895,1,36061,9,2,0
493,3013905,1,36005,2,2,1
494,3013917,1,9009,3,2,2
495,3013994,1,34017,3,2,0
496,3014038,1,34025,9,4,2
497,3014059,1,36079,2,3,2
498,3014077,1,36119,2,2,2
499,3014126,1,34037,2,2,6
500,3014178,1,36103,2,5,3
501,3014239,1,36119,2,4,1
502,3014293,1,36103,4,1,4
503,3014317,1,36085,1,5,0
504,3014333,1,36059,2,1,1
505,3014387,1,34003,3,2,1
506,3014388,1,34027,4,1,3
507,3014402,1,36103,4,4,2
508,3014422,1,36027,3,1,2
509,3014513,1,34041,2,4,3
510,3014528,1,36047,2,1,1
511,3014558,1,34013,2,2,1
512,3014576,1,34003,4,2,3
513,3014599,1,34019,4,5,3
514,3014608,1,36087,4,5,2
515,3014633,1,36061,2,4,0
516,3014644,1,34039,2,2,0
517,3014688,1,34023,4,2,2
518,3014719,1,34029,2,2,2
519,3014744,1,36081,2,1,2
520,3014767,1,9009,2,5,2
521,3014836,1,34029,2,2,1
522,3014853,1,34041,3,2,2
523,3014929,1,36119,4,2,1
524,3014954,1,36005,9,5,0
525,3015002,1,36061,2,2,0
526,3015011,1,34003,4,4,2
527,3015025,1,36059,4,1,1
528,3015073,1,36081,4,5,2
529,3015170,1,36061,4,2,1
530,3015230,1,36059,9,2,2
531,3015231,1,34027,4,2,3
532,3015232,1,9001,3,5,1
533,3015246,1,9009,1,4,0
534,3015253,1,34021,9,5,2
535,3015257,1,34029,1,1,1
536,3015318,1,34039,2,5,0
537,3015383,1,36061,1,4,0
538,3015391,1,34019,3,5,1
539,3015412,1,34039,4,5,2
540,3015431,1,34039,4,1,3
541,3015434,1,34037,1,2,2
542,3015450,1,36119,9,5,2
543,3015456,1,9001,4,1,2
544,3015550,1,34019,1,3,1
545,3015555,1,36061,3,4,0
546,3015564,1,36027,2,3,1
547,3015584,1,34039,1,5,0
548,3015625,1,34003,3,5,2
549,3015638,1,34025,2,1,3
550,3015672,1,34019,4,1,2
551,3015677,1,34041,1,5,1
552,3015696,1,36061,4,1,2
553,3015728,1,36081,1,5,0
554,3015785,1,9009,4,2,1
555,3015792,1,36103,2,3,1
556,3015800,1,36005,2,2,0
557,3015837,1,34041,9,5,2
558,3015865,1,36085,2,1,1
559,3015890,1,36087,2,3,1
560,3015913,1,36103,2,3,1
561,3015926,1,36079,3,3,6
562,3015929,1,34017,4,3,1
563,3015959,1,36047,1,2,1
564,3015975,1,34003,2,4,2
565,3016054,1,36119,4,2,3
566,3016071,1,34029,1,3,2
567,3016079,1,36103,2,2,1
568,3016080,1,34013,4,2,1
569,3016107,1,36005,1,1,1
570,3016110,1,34041,4,1,2
571,3016206,1,36061,4,1,0
572,3016293,1,9009,9,2,2
573,3016309,1,36103,1,2,1
574,3016366,1,34035,4,1,2
575,3016398,1,36085,2,4,1
576,3016440,1,36087,4,2,2
577,3016489,1,34027,1,1,2
578,3016497,1,34029,4,2,2
579,3016658,1,34031,2,1,0
580,3016666,1,36061,2,5,0
581,3016681,1,36047,3,2,0
582,3016699,1,34003,4,4,3
583,3016710,1,34035,1,2,2
584,3016724,1,36047,9,5,0
585,3016817,1,36079,4,1,2
586,3016879,1,9001,9,1,1
587,3016908,1,36061,4,5,0
588,3016948,1,36087,9,2,3
589,3016963,1,34041,1,5,2
590,3016978,1,36027,4,2,2
591,3017010,1,36061,4,2,1
592,3017038,1,36047,2,2,1
593,3017063,1,36087,2,2,2
594,3017073,1,34037,2,2,2
595,3017097,1,36103,4,2,1
596,3017103,1,36081,9,5,0
597,3017115,1,36059,4,2,2
598,3017185,1,36081,1,2,1
599,3017191,1,36119,4,2,2
600,3017258,1,34003,2,5,2
601,3017269,1,34013,2,3,2
602,3017279,1,36061,4,3,1
603,3017287,1,36119,1,5,0
604,3017337,1,34017,1,2,0
605,3017369,1,34019,9,5,0
606,3017432,1,36081,4,2,2
607,3017440,1,36085,3,5,1
608,3017442,1,36087,4,2,4
609,3017479,1,36047,1,1,0
610,3017488,1,34029,2,2,2
611,3017541,1,34013,2,3,2
612,3017563,1,36103,2,5,2
613,3017678,1,34025,1,2,0
614,3017703,1,36081,2,2,0
615,3017717,1,36005,1,2,1
616,3017721,1,34031,1,2,2
617,3017765,1,36061,1,2,1
618,3017774,1,36087,4,2,2
619,3017809,1,36079,3,2,1
620,3017814,1,36061,2,2,0
621,3017827,1,34003,2,5,2
622,3017832,1,36059,3,5,1
623,3017844,1,34029,1,2,1
624,3017866,1,34025,4,2,2
625,3017891,1,34027,2,2,1
626,3017918,1,36103,4,2,3
627,3017936,1,36119,9,3,3
628,3017952,1,9001,4,3,2
629,3018002,1,34029,3,4,2
630,3018047,1,36027,3,2,1
631,3018064,1,36119,4,4,1
632,3018079,1,34035,3,1,2
633,3018151,1,34037,9,2,3
634,3018162,1,36085,9,2,2
635,3018200,1,36059,2,4,2
636,3018208,1,36047,3,2,1
637,3018225,1,36061,2,2,0
638,3018229,1,34025,9,2,2
639,3018232,1,36027,9,3,2
640,3018276,1,36071,2,3,3
641,3018310,1,34023,9,2,1
642,3018413,1,36047,2,3,0
643,3018453,1,34037,1,3,1
644,3018488,1,36079,2,3,2
645,3018495,1,36047,1,4,0
646,3018556,1,34003,3,3,1
647,3018596,1,9009,4,4,4
648,3018622,1,34041,2,1,2
649,3018665,1,36071,2,2,1
650,3018673,1,9009,3,2,1
651,3018677,1,36027,2,5,2
652,3018745,1,36085,2,2,2
653,3018804,1,34013,4,1,1
654,3018844,1,34039,3,2,2
655,3018898,1,36027,4,2,4
656,3018912,1,36081,1,5,0
657,3018946,1,34003,4,3,2
658,3019156,1,34027,9,2,2
659,3019178,1,34035,2,2,1
660,3019183,1,34025,2,4,3
661,3019213,1,34025,2,5,2
662,3019245,1,36081,3,3,1
663,3019297,1,36103,1,3,0
664,3019329,1,36059,2,3,1
665,3019425,1,36059,9,5,1
666,3019445,1,36087,2,3,1
667,3019462,1,36005,2,2,1
668,3019481,1,34039,9,5,2
669,3019486,1,36081,4,2,0
670,3019513,1,34027,9,1,0
671,3019517,1,36027,4,5,6
672,3019528,1,34027,2,3,2
673,3019530,1,36047,4,2,1
674,3019543,1,36059,4,4,2
675,3019552,1,34031,1,4,1
676,3019627,1,36047,2,2,1
677,3019642,1,36005,2,2,0
678,3019648,1,36061,9,2,0
679,3019662,1,34023,4,1,2
680,3019663,1,36027,4,3,2
681,3019737,1,36103,2,2,2
682,3019806,1,34023,3,5,2
683,3019818,1,36103,4,2,2
684,3019832,1,36059,1,2,1
685,3019849,1,34017,2,1,2
686,3019858,1,36047,4,1,1
687,3019865,1,34003,2,2,1
688,3019880,1,34021,2,2,2
689,3019915,1,34019,4,5,3
690,3019983,1,9009,4,2,2
691,3020020,1,36119,2,2,2
692,3020033,1,34037,2,2,2
693,3020059,1,36027,2,2,4
694,3020073,1,36061,3,5,0
695,3020084,1,36047,4,4,1
696,3020100,1,36027,2,4,2
697,3020132,1,36085,2,1,1
698,3020161,1,34003,4,3,2
699,3020181,1,36081,4,2,2
700,3020205,1,36027,9,2,1
701,3020292,1,34013,9,3,2
702,3020294,1,34025,2,5,2
703,3020301,1,34003,4,1,5
704,3020324,1,34037,2,2,5
705,3020344,1,36085,2,5,1
706,3020364,1,34029,2,2,1
707,3020385,1,34037,3,4,2
708,3020493,1,34027,2,2,1
709,3020541,1,34029,9,2,2
710,3020552,1,36059,1,3,2
711,3020648,1,36005,1,3,1
712,3020652,1,36005,1,4,0
713,3020673,1,36047,2,2,0
714,3020676,1,36103,9,3,3
715,3020690,1,36071,4,1,2
716,3020718,1,34003,9,2,2
717,3020719,1,36005,2,1,0
718,3020770,1,34019,3,5,1
719,3020781,1,36061,1,3,0
720,3020784,1,36071,3,5,1
721,3020849,1,34025,2,3,2
722,3020869,1,34019,9,3,2
723,3020904,1,34029,2,5,3
724,3020925,1,36071,4,4,2
725,3020935,1,36085,2,5,3
726,3020946,1,34027,4,2,2
727,3020959,1,36005,1,2,0
728,3020974,1,36061,1,2,0
729,3020984,1,36103,1,2,0
730,3020994,1,36081,3,3,4
731,3021022,1,36061,1,4,0
732,3021046,1,34023,2,5,2
733,3021051,1,36119,2,5,1
734,3021065,1,34027,2,2,2
735,3021071,1,34041,3,2,3
736,3021170,1,36119,9,5,4
737,3021244,1,34013,4,4,3
738,3021274,1,36087,4,3,4
739,3021298,1,9001,4,1,3
740,3021347,1,34023,1,2,0
741,3021364,1,34025,9,5,3
742,3021414,1,36103,3,5,4
743,3021420,1,36027,3,2,2
744,3021426,1,36103,4,2,2
745,3021442,1,34021,4,5,3
746,3021462,1,34031,3,5,2
747,3021522,1,34037,2,2,3
748,3021531,1,34035,4,1,3
749,3021648,1,34003,3,5,1
750,3021649,1,36103,2,1,4
751,3021664,1,34041,4,1,2
752,3021675,1,36005,1,2,0
753,3021688,1,36047,2,2,1
754,3021697,1,36119,4,3,3
755,3021706,1,36085,4,2,4
756,3021713,1,34023,4,3,2
757,3021774,1,34031,4,1,2
758,3021839,1,36059,1,2,2
759,3021849,1,36081,3,3,1
760,3021852,1,36005,1,2,0
761,3021937,1,36061,4,2,2
762,3021943,1,9009,2,3,2
763,3021966,1,9009,3,2,2
764,3021972,1,36079,2,2,1
765,3021978,1,9009,2,3,2
766,3021999,1,34023,4,5,3
767,3022006,1,36027,4,2,3
768,3022018,1,34017,1,1,0
769,3022057,1,36059,2,5,2
770,3022086,1,34037,2,3,2
771,3022091,1,34041,2,5,2
772,3022104,1,34023,4,5,3
773,3022131,1,36087,4,2,2
774,3022177,1,36081,3,2,1
775,3022208,1,34041,9,1,3
776,3022226,1,34017,1,1,1
777,3022235,1,34037,4,3,2
778,3022263,1,36047,1,1,0
779,3022330,1,34031,2,3,1
780,3022366,1,34003,2,1,2
781,3022488,1,34027,4,4,6
782,3022495,1,36119,4,1,1
783,3022507,1,34019,2,2,2
784,3022549,1,34039,2,5,2
785,3022640,1,34041,4,2,2
786,3022649,1,34023,1,2,2
787,3022703,1,36059,1,5,0
788,3022749,1,34029,4,2,3
789,3022803,1,36081,3,4,1
790,3022819,1,34017,4,2,1
791,3022841,1,34013,9,2,2
792,3022865,1,34003,9,5,1
793,3022880,1,36119,2,2,1
794,3022908,1,36027,3,5,3
795,3022927,1,36085,1,1,1
796,3022965,1,34039,4,1,2
797,3022996,1,36061,3,2,0
798,3023015,1,36081,4,2,2
799,3023016,1,34003,4,2,3
800,3023038,1,36005,1,2,0
801,3023126,1,34023,4,1,2
802,3023129,1,36047,9,2,0
803,3023175,1,34019,9,2,1
804,3023188,1,36005,1,2,0
805,3023222,1,34003,2,3,1
806,3023224,1,34019,1,5,0
807,3023234,1,34003,2,2,1
808,3023240,1,36027,2,3,1
809,3023271,1,36061,4,1,2
810,3023338,1,36047,1,3,0
811,3023387,1,36103,4,4,2
812,3023398,1,36047,2,4,2
813,3023470,1,36119,4,4,2
814,3023635,1,36061,1,5,0
