SAMPN,RECMode,RETMode,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3106140,2,3,34017,21,2,1,1,1,1,1,1,,3,1,1,0,1,1,0,2,1.5,1,117.5,KEARNY,KEARNY TOWN,Kearny town,NJ,07032,2834,34017012700,53.09,8,5,4,1,2,1,4,2,0,0,0,2,0,1.5,0,0,0,1.5,0
3106155,2,2,34013,18,2,1,1,1,2,1,1,,3,4,1,0,0,2,0,9,12.2,1,194.71429,BELLEVILLE,,Belleville township,NJ,07109,3044,34013014200,184.79,8,5,4,2,2,1,6,9,0,0,0,0,9,12.2,0,0,0,0,12.2
3106175,2,2,34025,21,2,1,1,1,3,1,1,,8,3,3,1,2,2,1,10,12.83,1,86.26667,RED BANK,,Middletown township,NJ,07701,3260,34025801300,281.37,10,5,4,3,4,3,1,10,0,0,0,0,10,12.83,0,0,0,0,12.83
3106185,2,3,34025,21,2,1,1,1,2,1,1,,7,3,2,0,1,2,0,5,6.84,1,86.26667,RED BANK,,Middletown township,NJ,07701,3260,34025801300,72.76,10,5,4,2,4,2,4,5,0,0,0,2,3,6.84,0,0,0,1.5,5.34
3106187,2,2,34027,15,2,1,1,2,1,1,1,,4,2,3,0,0,1,0,0,0,1,569.66667,LEDGEWOOD,,Roxbury township,NJ,07852,3179,34027045300,511.76,9,5,4,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0
3106230,2,2,36061,6,2,1,1,2,1,1,1,,5,1,1,0,1,1,0,5,9.19,1,725.14286,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10016,130,36061007800,125.41,1,1,1,1,3,1,4,3,0,2,0,0,5,5.51,0,3.68,0,0,9.19
3106252,2,2,36005,7,2,1,1,2,4,1,1,,2,3,0,2,1,2,1,6,7.43,1,980,BRONX,NEW YORK CITY,Bronx borough,NY,10451,761,36005005100,298.24,2,1,1,4,1,0,3,0,0,6,0,0,6,0,0,7.43,0,0,7.43
3106263,2,2,34003,15,2,1,1,1,1,1,1,,99,5,2,0,0,1,0,8,17.56,1,196.15385,GLEN ROCK,GLEN ROCK BOROUGH,Glen Rock borough,NJ,07452,2682,34003022200,528.94,7,5,4,1,9,2,6,8,0,0,0,0,8,17.56,0,0,0,0,17.56
3106269,2,3,34003,15,2,1,1,1,1,1,1,,6,3,1,0,1,1,0,6,7.36,1,344.33333,FRANKLIN LAKES,FRANKLIN LAKES BOROUGH,Franklin Lakes borough,NJ,07417,2680,34003020200,72.74,7,5,4,1,4,1,4,6,0,0,0,4,2,7.36,0,0,0,4.91,2.45
3106270,2,3,34027,3,2,1,1,2,2,1,1,,99,5,2,0,1,2,0,6,5.63,1,681.25,ROCKAWAY,,Rockaway township,NJ,07866,3178,34027044501,182.39,9,5,4,2,9,2,4,6,0,0,0,0,6,5.63,0,0,0,0,5.63
3106307,2,1,34003,21,2,1,1,1,2,1,1,,7,2,2,0,0,2,0,3,5.12,1,73.04,PARK RIDGE,PARK RIDGE BOROUGH,Park Ridge borough,NJ,07656,2707,34003043002,65.39,7,5,4,2,4,2,6,2,0,1,0,0,3,3.41,0,1.71,0,0,5.12
3106326,1,2,36103,16,1,1,1,1,2,1,1,,6,1,2,0,2,2,0,16,16,1,384,WYANDANCH,WHEATLEY HEIGHTS CDP,Babylon town,NY,11798,1897,36103122403,150.32,3,2,1,2,4,2,2,14,0,2,0,11,5,14,0,2,0,11,5
3106328,2,3,36119,21,2,1,1,1,4,1,3,,8,3,2,2,2,2,2,6,6.55,1,58.66667,BRIARCLIFF MANOR,BRIARCLIFF MANOR VILLAGE,Ossining town,NY,10510,2218,36119013201,50,4,3,1,4,4,2,1,6,0,0,0,0,6,6.55,0,0,0,0,6.55
3106393,2,1,9001,13,2,1,1,1,2,1,1,,99,2,2,0,2,2,0,6,8.64,1,292.5,FAIRFIELD,,Fairfield town,CT,06824,2536,9001060700,273.16,6,4,3,2,9,2,2,6,0,0,0,4,2,8.64,0,0,0,5.07,3.57
3106438,2,2,36059,20,2,1,1,1,5,1,1,,6,1,3,1,4,4,0,14,16.94,1,162.25,ELMONT,ELMONT CDP,Hempstead town,NY,11003,1673,36059405200,815.82,3,2,1,4,4,3,2,10,2,0,0,10,4,12.93,1.66,0,0,11.26,5.68
3106442,2,1,9001,10,2,1,1,2,1,1,1,,4,2,1,0,1,1,0,5,6.39,1,215.25,STRATFORD,STRATFORD CDP,Stratford town,CT,06615,2596,9001080700,99.43,6,4,3,1,2,1,4,5,0,0,0,3,2,6.39,0,0,0,4.29,2.1
3106444,2,3,36059,5,2,1,1,1,1,1,1,,99,4,1,0,1,1,0,4,3.6,1,322,PORT WASHINGTON,PORT WASHINGTON CDP,North Hempstead town,NY,11050,1631,36059301200,831.03,3,2,1,1,9,1,4,4,0,0,0,0,4,3.6,0,0,0,0,3.6
3106550,2,2,34027,18,2,1,1,1,2,1,4,,6,1,2,0,1,2,0,10,9.01,1,86.2,DENVILLE,,Denville township,NJ,07834,3151,34027041400,50.13,9,5,4,2,4,2,4,10,0,0,0,4,6,9.01,0,0,0,3.01,6
3106635,2,2,36061,11,1,1,1,2,1,1,1,,4,2,0,0,0,0,0,6,6,1,531.5,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10003,67,36061004000,172.5,1,1,1,1,2,0,6,0,3,3,0,0,6,0,3,3,0,0,6
3106659,2,3,34023,16,2,1,1,1,3,1,2,,6,1,4,0,2,3,0,8,7.39,1,129.4,PISCATAWAY TOWNSHIP,,Piscataway township,NJ,08854,3220,34023000702,50,9,5,4,3,4,3,2,8,0,0,0,0,8,7.39,0,0,0,0,7.39
