ID,SAMPN,PERNO,MODE,GENDER,AGE,INCOME,CAR,LIC,TRIPDIST_R1,TRPDUR_R,OTAZ,DTAZ,TOD_R
242,3001754,1,1,1,5,3,1,1,1,2,2648,2648,2
243,3001754,1,1,1,5,3,1,1,2,2,2648,2646,3
244,3001754,1,1,1,5,3,1,1,2,2,2646,2648,3
245,3001754,2,1,2,5,3,1,1,2,1,2648,2624,2
246,3001754,2,1,2,5,3,1,1,2,1,2624,2624,2
247,3001754,2,1,2,5,3,1,1,3,2,2624,2623,3
248,3001754,2,1,2,5,3,1,1,1,1,2623,2623,3
249,3001754,2,1,2,5,3,1,1,1,1,2623,2623,3
250,3001754,2,1,2,5,3,1,1,3,3,2623,2648,3
251,3001865,1,1,2,4,3,1,1,2,3,174,2865,4
252,3001974,1,1,2,6,4,1,1,1,2,2274,2274,2
253,3001974,1,1,2,6,4,1,1,2,1,2274,2281,2
254,3001974,1,1,2,6,4,1,1,2,2,2281,2280,2
255,3001974,1,1,2,6,4,1,1,3,3,2280,2274,3
256,3001974,1,1,2,6,4,1,1,1,1,2274,2274,3
257,3001974,1,1,2,6,4,1,1,2,2,2274,2281,3
258,3001974,1,1,2,6,4,1,1,2,2,2281,2274,4
259,3001974,2,1,1,6,4,1,1,1,1,2274,2274,1
260,3001974,2,1,1,6,4,1,1,3,2,2274,2275,1
261,3001974,2,1,1,6,4,1,1,3,2,2275,2274,1
262,3001974,2,1,1,6,4,1,1,1,1,2274,2274,1
263,3001974,2,1,1,6,4,1,1,3,3,2274,2280,2
264,3001974,2,1,1,6,4,1,1,2,2,2280,2280,2
265,3001974,2,1,1,6,4,1,1,3,2,2280,2274,2
266,3001974,2,1,1,6,4,1,1,4,3,2274,2289,3
267,3001974,2,1,1,6,4,1,1,4,3,2289,2274,3
268,3001974,2,1,1,6,4,1,1,1,1,2274,2274,3
269,3001974,2,1,1,6,4,1,1,2,2,2274,2281,3
270,3001974,2,1,1,6,4,1,1,2,2,2281,2274,4
271,3001982,1,1,1,6,2,1,1,5,3,3238,3233,2
272,3001982,1,1,1,6,2,1,1,3,3,3233,3260,2
273,3001982,1,1,1,6,2,1,1,3,2,3260,3233,2
274,3001982,1,1,1,6,2,1,1,1,1,3233,3233,3
275,3002021,1,1,2,4,9,1,1,2,3,3335,3335,2
276,3002021,1,1,2,4,9,1,1,2,2,3335,3335,3
277,3002067,2,1,2,5,2,1,1,2,2,3531,3534,2
278,3002067,2,1,2,5,2,1,1,2,2,3534,3531,3
279,3002068,1,1,2,4,3,1,1,4,2,3495,3466,2
280,3002068,1,1,2,4,3,1,1,4,2,3466,3524,2
281,3002068,1,1,2,4,3,1,1,1,1,3524,3524,2
282,3002068,1,1,2,4,3,1,1,3,2,3524,3495,2
283,3002080,1,3,2,5,1,2,2,2,3,1278,1288,2
284,3002080,1,3,2,5,1,2,2,2,5,1288,1278,3
285,3002177,1,1,1,6,4,1,1,6,4,2163,2508,2
286,3002177,1,1,1,6,4,1,1,6,4,2508,2203,3
287,3002177,1,1,1,6,4,1,1,2,2,2203,2163,3
288,3002177,1,1,1,6,4,1,1,2,2,2163,2159,4
289,3002177,1,1,1,6,4,1,1,2,1,2159,2163,4
290,3002183,1,1,1,5,4,1,1,6,4,471,2024,3
291,3002200,1,1,1,5,4,1,1,4,3,2382,2398,3
292,3002200,2,1,2,5,4,1,1,2,1,2398,2398,3
293,3002200,3,1,1,2,4,1,1,3,2,2399,2398,4
294,3002228,1,3,1,4,1,1,2,3,3,2169,2195,2
295,3002228,1,3,1,4,1,1,2,3,4,2195,2169,2
296,3002280,1,1,2,5,4,1,1,4,4,2691,2727,1
297,3002280,1,1,2,5,4,1,1,4,4,2727,2691,2
298,3002280,4,1,1,5,4,1,1,4,4,2691,2727,1
299,3002280,4,1,1,5,4,1,1,4,4,2727,2691,2
300,3002280,4,1,1,5,4,1,1,1,1,2691,2691,2
301,3002280,4,1,1,5,4,1,1,1,1,2691,2691,3
302,3002280,4,1,1,5,4,1,1,1,1,2691,2719,3
303,3002280,4,1,1,5,4,1,1,1,1,2719,2691,3
304,3002420,1,1,1,6,4,1,1,5,3,3248,3245,2
305,3002420,1,1,1,6,4,1,1,4,2,3245,3245,2
306,3002420,1,1,1,6,4,1,1,4,3,3245,3245,2
307,3002420,1,1,1,6,4,1,1,6,4,3245,3220,2
308,3002420,1,1,1,6,4,1,1,5,3,3220,3251,2
309,3002420,1,1,1,6,4,1,1,3,3,3251,3248,3
310,3002445,1,5,2,4,2,2,1,1,2,130,94,2
311,3002445,1,5,2,4,2,2,1,1,3,94,130,2
312,3002445,1,5,2,4,2,2,1,1,1,130,130,2
